Team,TeamID,GoalsForHome,GoalsAgainstHome,GoalsForAway,GoalsAgainstAway,WinsHome,DrawsHome,LossesHome,WinsAway,DrawsAway,LossesAway,GoalsFor,GoalsAgainst,GoalsDifference,Wins,Draws,Losses,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Rank,last_5_winners,Rating
Man United,1,23,28,21,26,7,3,9,4,6,9,44,54,-10,11,9,18,42,1.11,52.6,53.8,-1.3,-0.03,15,0,6.92
Ipswich,2,14,44,22,38,1,4,14,3,6,10,36,82,-46,4,10,24,22,0.58,34.4,72.7,-38.3,-1.01,19,0,6.73
Arsenal,3,35,17,34,17,11,6,2,9,8,2,69,34,35,20,14,4,74,1.95,59.9,34.4,25.5,0.67,2,0,7.05
Everton,4,26,23,16,21,5,9,5,6,6,7,42,44,-2,11,15,12,48,1.26,41.8,46.2,-4.5,-0.12,13,0,6.92
Newcastle,5,40,20,28,27,12,2,5,8,4,7,68,47,21,20,6,12,66,1.74,63.8,45.5,18.3,0.48,5,0,6.97
Nott'm Forest,6,26,16,32,30,9,5,5,10,3,6,58,46,12,19,8,11,65,1.71,45.5,48.9,-3.4,-0.09,7,0,6.95
West Ham,7,23,34,23,28,5,5,9,6,5,8,46,62,-16,11,10,17,43,1.13,47.0,59.7,-12.7,-0.33,14,0,6.86
Brentford,8,40,35,26,22,9,4,6,7,4,8,66,57,9,16,8,14,56,1.47,59.0,55.4,3.6,0.09,10,0,6.99
Chelsea,9,35,18,29,25,12,5,2,8,4,7,64,43,21,20,9,9,69,1.82,67.8,47.3,20.5,0.54,4,0,7.01
Leicester,10,15,34,18,46,4,3,12,2,4,13,33,80,-47,6,7,25,25,0.66,32.6,71.9,-39.3,-1.03,18,0,6.76
Brighton,11,30,26,36,33,8,8,3,8,5,6,66,59,7,16,13,9,61,1.61,58.7,54.6,4.1,0.11,8,0,6.89
Crystal Palace,12,24,26,27,25,6,7,6,7,7,5,51,51,0,13,14,11,53,1.39,60.4,49.1,11.3,0.3,12,0,6.92
Fulham,13,27,30,27,24,7,5,7,8,4,7,54,54,0,15,9,14,54,1.42,49.0,47.2,1.8,0.05,11,0,6.94
Man City,14,43,23,29,21,13,3,3,8,5,6,72,44,28,21,8,9,71,1.87,68.1,47.7,20.4,0.54,3,4,7.13
Southampton,15,13,47,13,39,1,3,15,1,3,15,26,86,-60,2,6,30,12,0.32,32.7,84.8,-52.1,-1.37,20,0,6.75
Tottenham,16,35,35,29,30,6,3,10,5,2,12,64,65,-1,11,5,22,38,1.0,58.8,63.3,-4.5,-0.12,17,0,6.91
Aston Villa,17,34,20,24,31,11,7,1,8,2,9,58,51,7,19,9,10,66,1.74,56.1,50.1,5.9,0.16,6,0,6.9
Bournemouth,18,23,16,35,30,8,4,7,7,7,5,58,46,12,15,11,12,56,1.47,64.0,48.5,15.5,0.41,9,0,6.98
Wolves,19,27,32,27,37,6,3,10,6,3,10,54,69,-15,12,6,20,42,1.11,43.7,58.1,-14.5,-0.38,16,0,6.87
Liverpool,20,42,16,44,25,14,4,1,11,5,3,86,41,45,25,9,4,84,2.21,82.2,38.6,43.6,1.15,1,1,7.07
