Team,TeamID,GoalsForHome,GoalsAgainstHome,GoalsForAway,GoalsAgainstAway,WinsHome,DrawsHome,LossesHome,WinsAway,DrawsAway,LossesAway,GoalsFor,GoalsAgainst,GoalsDifference,Wins,Draws,Losses,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Rank,last_5_winners,Rating
Ath Bilbao,1,32,13,22,16,11,6,2,8,7,4,54,29,25,19,13,6,70,1.84,53.0,37.8,15.2,0.4,4,0,6.88
Betis,2,32,21,25,29,9,7,3,7,5,7,57,50,7,16,12,10,60,1.58,54.7,50.6,4.1,0.11,6,0,6.93
Celta,3,32,21,27,36,11,3,5,5,4,10,59,57,2,16,7,15,55,1.45,54.2,43.4,10.9,0.29,7,0,6.87
Las Palmas,4,21,29,19,32,4,5,10,4,3,12,40,61,-21,8,8,22,32,0.84,36.3,66.8,-30.5,-0.8,19,0,6.8
Osasuna,5,33,23,15,29,10,6,3,2,10,7,48,52,-4,12,16,10,52,1.37,44.0,53.7,-9.7,-0.25,9,0,6.86
Valencia,6,26,20,18,34,9,4,6,2,9,8,44,54,-10,11,13,14,46,1.21,43.3,51.9,-8.6,-0.23,12,0,6.8
Sociedad,7,20,20,15,26,8,3,8,5,4,10,35,46,-11,13,7,18,46,1.21,42.5,43.9,-1.5,-0.04,11,0,6.83
Mallorca,8,20,21,15,23,7,6,6,6,3,10,35,44,-9,13,9,16,48,1.26,38.8,46.8,-8.1,-0.21,10,0,6.86
Valladolid,9,11,32,15,58,3,4,12,1,0,18,26,90,-64,4,4,30,16,0.42,34.6,67.6,-33.0,-0.87,20,0,6.69
Villarreal,10,43,27,28,24,9,7,3,11,3,5,71,51,20,20,10,8,70,1.84,64.8,44.4,20.4,0.54,5,0,6.97
Sevilla,11,17,23,25,32,6,6,7,4,5,10,42,55,-13,10,11,17,41,1.08,42.7,47.4,-4.7,-0.12,17,0,6.82
Barcelona,12,52,20,50,19,14,1,4,14,3,2,102,39,63,28,4,6,88,2.32,91.5,41.9,49.5,1.3,1,1,7.15
Espanol,13,23,20,17,31,8,6,5,3,3,13,40,51,-11,11,9,18,42,1.11,34.4,53.8,-19.4,-0.51,14,0,6.83
Getafe,14,15,19,19,20,4,7,8,7,2,10,34,39,-5,11,9,18,42,1.11,36.8,46.2,-9.4,-0.25,13,0,6.81
Real Madrid,15,45,19,33,19,16,1,2,10,5,4,78,38,40,26,6,6,84,2.21,75.3,42.8,32.5,0.86,2,3,7.18
Leganes,16,23,27,16,29,7,4,8,2,9,8,39,56,-17,9,13,16,40,1.05,36.0,59.4,-23.4,-0.62,18,0,6.8
Alaves,17,14,17,24,31,6,6,7,4,6,9,38,48,-10,10,12,16,42,1.11,42.8,47.0,-4.2,-0.11,15,0,6.82
Ath Madrid,18,42,15,26,15,14,4,1,8,6,5,68,30,38,22,10,6,76,2.0,64.6,33.4,31.2,0.82,3,1,6.97
Vallecano,19,24,26,17,19,6,8,5,7,5,7,41,45,-4,13,13,12,52,1.37,45.4,49.0,-3.5,-0.09,8,0,6.85
Girona,20,27,30,17,30,7,3,9,4,5,10,44,60,-16,11,8,19,41,1.08,42.5,50.4,-8.0,-0.21,16,0,6.86
